"","country","iso3code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"124","Mali","MLI",NA,39.9,NA,NA,NA,NA,38.9,NA,NA,33,NA,NA,NA,NA,NA,NA,NA
"125","Malta","MLT",NA,NA,NA,NA,NA,NA,28,29.2,29,30.2,29,29.1,29.4,28.8,29,29.4,NA
"126","Marshall Islands","MHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Mauritania","MRT",39,NA,NA,NA,40.2,NA,NA,NA,35.7,NA,NA,NA,NA,NA,32.6,NA,NA
"128","Mauritius","MUS",NA,NA,NA,NA,NA,NA,35.7,NA,NA,NA,NA,NA,35.8,NA,NA,NA,NA
"129","Mexico","MEX",51.4,NA,49,NA,48.3,48.9,47.7,NA,44.6,NA,45.3,NA,45.4,NA,45.8,NA,43.4
"130","Micronesia, Fed. Sts.","FSM",NA,NA,NA,NA,NA,42.4,NA,NA,NA,NA,NA,NA,NA,40.1,NA,NA,NA
"131","Moldova","MDA",36.4,38,35.8,34.9,35,36.3,35.4,34.4,34.7,32.9,32.1,30.6,29.2,28.5,26.8,27,26.3
"132","Monaco","MCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Mongolia","MNG",NA,NA,32.9,NA,NA,NA,NA,35.8,NA,NA,33.1,33.9,33.8,NA,32,NA,32.3
"134","Montenegro","MNE",NA,NA,NA,NA,NA,30.2,30,31.4,30.5,31,28.9,30.8,32.3,32.4,31.9,NA,NA
"135","Morocco","MAR",40.6,NA,NA,NA,NA,NA,40.7,NA,NA,NA,NA,NA,NA,39.5,NA,NA,NA
"136","Mozambique","MOZ",NA,NA,47,NA,NA,NA,NA,NA,45.6,NA,NA,NA,NA,NA,54,NA,NA
"137","Myanmar","MMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,NA
"138","Namibia","NAM",NA,NA,NA,63.3,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,59.1,NA
"139","Nauru","NRU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Nepal","NPL",NA,NA,NA,43.8,NA,NA,NA,NA,NA,NA,32.8,NA,NA,NA,NA,NA,NA
"141","Netherlands","NLD",NA,NA,NA,NA,29.8,29,30,29.6,29.3,27.9,27.8,27.7,27.6,28.1,28.6,28.2,NA
"142","New Caledonia","NCL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","New Zealand","NZL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Nicaragua","NIC",NA,52.9,NA,NA,NA,48.8,NA,NA,NA,43.9,NA,NA,NA,NA,46.2,NA,NA
"145","Niger","NER",NA,NA,NA,NA,NA,44.4,NA,37.3,NA,NA,NA,31.5,NA,NA,34.3,NA,NA
"146","Nigeria","NGA",NA,NA,NA,40.1,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA
"147","Northern Mariana Islands","MNP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Norway","NOR",NA,NA,NA,27.6,31.6,30.6,26.4,27.1,27,26.2,25.7,25.3,25.7,26.4,26.8,27.5,NA
"149","Oman","OMN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Pakistan","PAK",NA,30.4,NA,NA,32.5,32.7,NA,31.6,NA,NA,29.8,30.9,NA,30.7,NA,33.5,NA
"151","Palau","PLW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Panama","PAN",56.8,56.9,56.2,55.8,54.9,53.9,54.7,52.8,53.4,51.9,51.7,51.4,51.8,51.5,50.6,50.8,50.4
"153","Papua New Guinea","PNG",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.9,NA,NA,NA,NA,NA,NA,NA
"154","Paraguay","PRY",NA,54.6,57.3,54.9,52.3,51.4,53,53,50.7,49.1,51,52.3,47.6,47.9,50.7,47.6,47.9
"155","Peru","PER",49.4,51.5,53.8,53.5,50.3,50.8,50.5,50.4,47.8,47.3,45.7,44.9,44.7,44.1,43.4,43.5,43.8
"156","Philippines","PHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Poland","POL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Portugal","PRT",NA,NA,NA,38.7,38.9,38.5,38.1,36.7,36.6,34.9,35.8,36.3,36,36.2,35.6,35.5,NA
"159","Puerto Rico","PRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Qatar","QAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Romania","ROU",NA,NA,NA,NA,NA,NA,39.6,37.5,36.4,35.6,35.5,35.9,36.5,36.9,36,35.9,NA
"162","Russian Federation","RUS",37.1,36.9,37.3,40,40.3,41.3,41,42.3,41.6,39.8,39.5,39.7,40.7,40.9,39.9,37.7,NA
"163","Rwanda","RWA",48.5,NA,NA,NA,NA,52,NA,NA,NA,NA,47.2,NA,NA,45.1,NA,NA,NA
"164","Samoa","WSM",NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
"165","San Marino","SMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Sao Tome and Principe","STP",32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8,NA,NA,NA,NA,NA,NA
"167","Saudi Arabia","SAU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Senegal","SEN",NA,41.2,NA,NA,NA,39.2,NA,NA,NA,NA,NA,40.3,NA,NA,NA,NA,NA
"169","Serbia","SRB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Seychelles","SYC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.8,NA,NA,NA
"171","Sierra Leone","SLE",NA,NA,NA,40.2,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA
"172","Singapore","SGP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Sint Maarten (Dutch part)","SXM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Slovak Republic","SVK",NA,NA,NA,NA,27.1,29.3,25.8,24.7,26,27.2,27.3,26.5,26.1,28.1,26.1,26.5,NA
"175","Slovenia","SVN",NA,NA,NA,NA,24.8,24.6,24.4,24.4,23.7,24.8,24.9,24.9,25.6,26.2,25.7,25.4,NA
"176","Solomon Islands","SLB",NA,NA,NA,NA,NA,46.1,NA,NA,NA,NA,NA,NA,NA,37.1,NA,NA,NA
"177","Somalia","SOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","South Africa","ZAF",57.8,NA,NA,NA,NA,64.8,NA,NA,63,NA,63.4,NA,NA,NA,63,NA,NA
"179","South Sudan","SSD",NA,NA,NA,NA,NA,NA,NA,NA,NA,46.3,NA,NA,NA,NA,NA,NA,NA
"180","Spain","ESP",NA,NA,NA,31.8,33.3,32.4,33.5,34.1,34.2,34.9,35.2,35.7,35.4,36.2,36.1,36.2,NA
"181","Sri Lanka","LKA",NA,NA,41,NA,NA,NA,40.3,NA,NA,36.4,NA,NA,39.2,NA,NA,NA,39.8
"182","St. Kitts and Nevis","KNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
