"","State","Percent.Limited.English.Households","Percent.With.Broadband","Percent.Occupied.Single.Family.Homes","Percent.In.Service.Industry","Percent.STEM.education","Percent.Computer.in.Household","Percent.Smartphone.In.Household","Percent.No.of.Internet.Subscriptions","Employment.Rate","Median.Annual.Income","Percent.in.Public.School","Percent.Foreign.Born","White","Black","Native","Asian","Other","Two.or.more","Population","Median.Age","Percent.male","Percent.Less.Than.High.School","Percent.High.School","Percent.Some.College","Percent.Bachelors","Population.Graduate","Percent.Below.Poverty.Line","Median.Monthly.Housing.Costs"
"30","New Hampshire","1.3","91.8","83.2","64.8","38.1","93.7","80.8","88.9","65.1","73381","79.2",0.0660250486651615,0.930708708328524,0.0166883254703808,0.00132931683540674,0.0265587822415186,0.00336462378844127,0.0194370696941827,"1342795","43.2","49.15","5.1","28.0","17.9","22.6","14.3","17.5","1280"
"31","New Jersey","7.2","90.0","78.1","70.8","37.7","92.6","83.9","87.0","61.8","80088","81.7",0.295667614596878,0.678711927764411,0.135200991733628,0.00198131305212598,0.098411729355502,0.0597815103506201,0.0196251373027848,"9005644","39.8","47.7","5.3","27.2","16.3","24.2","15.6","21.2","1545"
"32","New Mexico","5.5","79.2","78.2","64.8","36.1","86.6","76.7","77.0","52.6","46744","90.5",0.103303352809578,0.757647013749539,0.0212785011996724,0.0957281125632761,0.0140929183408602,0.0771315137902465,0.0243085720306312,"2088070","37.7","49.05","8.1","26.6","24.0","15.2","11.8","28.8","782"
"33","New York","8.2","86.9","69.4","66.4","34.3","90.1","80.4","83.7","59.6","64894","76.8",0.296582119114368,0.630918699352056,0.1580392434048,0.00383230746684068,0.0873912101822327,0.0891139323664157,0.0226486454325393,"19849399","38.7","47.2","7.3","26.3","15.4","20.2","15.8","24.5","1291"
"34","North Carolina","2.4","85.4","82.7","67.2","34.3","89.4","80.4","82.0","58.0","52752","85.1",0.0878246226732457,0.687866911687336,0.214785262822435,0.0116717715884069,0.0287802921305945,0.0300913454420578,0.0233594093650809,"10273419","38.8","47.4","7.7","25.8","21.3","20.1","11.2","25.8","878"
"35","North Dakota","0.8","84.5","83.0","58.6","28.4","90.5","80.2","81.6","67.9","61843","90.6",NA,0.86592806658256,0.0308369285921368,0.055210996130491,0.0168111168623485,0.0109227911828677,0.0182262742704791,"755393","35.4","52.9","4.3","26.4","22.4","21.8","9.0","22.7","799"
"36","Ohio","1.3","87.3","89.6","70.4","30.7","89.6","78.8","83.6","59.6","54021","82.1",0.047464142533933,0.813139371943943,0.123629928750505,0.00203454803227383,0.0220882268201978,0.00949924643668897,0.0268682996402058,"11658609","39.3","48","7.0","33.3","20.2","17.3","10.6","25.4","833"
"37","Oklahoma","1.9","83.6","88.8","64.4","28.1","89.2","81.3","80.0","57.2","50051","88.8",0.0603949683043965,0.72184944582158,0.0729396895949593,0.0769296521070177,0.0220572372893084,0.0273494580326361,0.0732574314450971,"3930864","36.6","49.15","7.9","31.1","23.3","16.9","8.6","27.9","770"
"38","Oregon","2.5","90.5","84.1","66.3","40.1","93.2","83.1","87.1","59.1","60212","84.9",0.109456789369635,0.844178396321693,0.0187676089655825,0.011512087547094,0.0438495829849357,0.0298222737603964,0.0430366015444716,"4142776","39.3","49.15","5.5","23.2","25.2","21.0","12.7","25.8","1164"
"39","Pennsylvania","2.5","86.3","75.6","69.1","33.6","88.0","75.8","82.0","59.0","59195","76.4",0.0750324385095479,0.807423226374653,0.112223407733701,0.00183693975504502,0.0347184190713751,0.0189761663255512,0.0218800664118967,"12805537","40.8","48","6.3","35.0","15.8","18.9","12.5","25.6","947"
"40","Puerto Rico","68.2","65.8","81.1","54.9","24.6","69.2","61.7","62.0","36.2","19343","65.4",0.0281603006986005,0.662454523688734,0.120958223072975,0.00237745855254306,0.00162532583677761,0.159899819518114,0.0475416796891504,"3337177","41.4","45.6","8.1","27.9","12.2","18.3","7.4","56.6","329"
"41","Rhode Island","6.3","90.1","83.0","70.2","33.9","89.7","79.5","85.8","61.3","63870","73.9",0.161092982636842,0.817502942039695,0.0629082168549855,0.00526594434519681,0.0359160053565412,0.0446406747958503,0.0248679031254984,"1059639","39.5","46.95","6.6","29.9","16.9","20.3","13.1","22.7","1190"
"42","South Carolina","1.3","83.1","80.2","70.2","30.9","88.8","80.5","79.5","56.1","50570","86.2",0.0511067294969221,0.672764878534996,0.270160292765121,0.0029868427259224,0.0151623019726457,0.016312297126266,0.0194959804902864,"5024369","39.4","47.1","8.6","29.5","20.3","17.6","10.4","26.9","820"
"43","South Dakota","1.1","84.8","86.5","65.2","28.2","88.4","75.0","80.9","65.1","56521","87.8",NA,0.846969986178602,0.0195327861500852,0.0874795611188663,0.012389814020555,0.00649329742682823,0.0245830008302038,"869666","36.9","50.85","5.4","30.8","22.0","19.1","9.0","22.9","774"
"44","Tennessee","1.6","83.3","87.0","70.6","29.8","87.4","78.8","79.6","58.1","51340","82.8",0.0546076382291469,0.777487111345113,0.167164632911573,0.0021794274673674,0.0177360458273873,0.0132906808592754,0.0196428401258848,"6715984","38.6","47.5","7.8","32.4","20.8","17.2","10.1","26.5","820"
"45","Texas","7.9","85.7","88.7","69.5","35.1","91.8","85.7","83.5","60.7","59206","89.2",0.206995548402129,0.739425498247705,0.120942584730762,0.00477300576909842,0.0480574956802068,0.0594918931187006,0.0207310148500265,"28304596","34.7","49.35","8.2","25.1","21.7","19.3","10.3","24.9","1009"
"46","Utah","2.4","91.0","87.5","67.7","32.4","95.5","88.9","88.1","66.0","68358","85.9",0.0950503319572095,0.856594471720431,0.0121441096280812,0.0105402192832432,0.0244020229328916,0.0580118272002393,0.024275646045419,"3101833","31.0","50.8","5.1","22.3","25.7","22.8","11.8","26.4","1122"
"47","Vermont","0.5","85.4","83.3","60.2","38.6","89.5","72.9","82.0","62.8","57513","80.5",NA,0.941647411958817,0.0132444596949926,0.00377611411400818,0.018070830600795,0.00223199611324815,0.0196694657479993,"623657","42.6","48.75","5.2","29.0","16.8","22.5","15.8","22.2","1088"
"48","Virginia","2.7","88.2","79.7","65.4","40.3","91.8","83.4","85.2","61.1","71535","83.3",0.143415253150459,0.674697226216703,0.192164953565635,0.00316315663953568,0.0644362114847427,0.0259150509680024,0.0353513923225683,"8470020","38.2","48.35","6.1","24.2","19.0","22.0","16.7","22.7","1237"
"49","Washington","3.8","92.1","84.5","66.2","42.1","94.2","85.5","89.4","60.6","70979","85.0",0.16706925597147,0.753788107418796,0.036672080033023,0.0125629528326867,0.0853602400191311,0.0459084253936438,0.0535068527222724,"7405743","37.7","49.9","5.0","22.1","23.6","22.2","13.3","22.5","1319"
"50","West Virginia","0.4","81.6","83.4","67.7","28.2","84.6","69.7","76.3","48.8","43469","88.8",NA,0.927562577890219,0.0396457430293244,0.00134261673689063,0.00756282020004879,0.00688710619834051,0.0154968150025029,"1815857","42.4","48.85","8.4","41.2","18.6","12.2","8.0","33.7","585"
"51","Wisconsin","1.5","87.4","88.8","68.5","32.3","89.5","77.8","83.9","63.9","59305","84.1",0.0523024255773699,0.852763436628146,0.0639006274369194,0.00849989552208159,0.0275266099477817,0.0218734141744528,0.0211758019133177,"5795483","39.5","49.4","5.1","30.7","20.3","19.8","10.6","23.2","913"
"52","Wyoming","1.5","87.8","81.3","62.0","35.5","91.7","80.5","84.0","61.9","60434","91.1",NA,0.912135884622356,0.00995313430517076,0.0240698065819114,0.00834088535598077,0.0172634922278898,0.0243442686621268,"579315","37.5","52.15","5.1","29.6","25.3","17.4","10.3","23.0","890"
