"","Total revenue","General revenue","Intergovernmental revenue","Taxes","General sales","Selective sales","License taxes","Individual income tax","Corporate income tax","Other taxes","Current charge","Miscellaneous general revenue","Utility revenue","Liquor stores revenue","Insurance trust revenue","Total expenditure","Intergovernmental expenditure","Direct expenditure","Current operation","Capital outlay","Insurance benefits and repayments","Assistance and subsidies","Interest on debt","Exhibit: Salaries and wages","Total expenditure.1","General expenditure","Intergovernmental expenditure.1","Direct expenditure.1","Education","Public welfare","Hospitals","Health","Highways","Police protection","Correction","Natural resources","Parks and recreation","Governmental administration","Interest on general debt","Other and unallocable","Utility expenditure","Liquor stores expenditure","Insurance trust expenditure","Debt at end of fiscal year","Cash and security holdings"
"Massachusetts"," 67489472"," 54786749"," 16331054"," 27518360","  6240822","  2577525","  1112162"," 14724277","  2196474","   667100","  5573313","  5364022","   926211",NA," 11776512"," 66483110","  8955488"," 57527622"," 41462090","  4980585","  6784356","  1022829","  3277762","  7084206"," 66483110"," 55728805","  8955488"," 46773317"," 13179312"," 22403061","   718405","  1484458","  3140883","   922066","   954978","   265381","   202643","  2703081","  2963852","  6790685","  3969949",NA,"  6784356"," 77043165","105140487"
"Michigan","80390225","63998679","21350680","28628517"," 9223737"," 4473004"," 1787867"," 9485325"," 1195399"," 2463185"," 9501634"," 4517848",NA," 1082256","15309290","72159761","21383356","50776405","37254365"," 2529535"," 8057620"," 1386823"," 1548062"," 9900659","72159761","63229370","21383356","41846014","25890299","18833917"," 4385477"," 1640230"," 3012998","  501930"," 1894849","  369721","  154384"," 1083566"," 1548062"," 3913937","       0","  872771"," 8057620","33463604","90783251"
"Minnesota","53870383","41353995","10939218","25594522"," 5888795"," 4718840"," 1477319","10956205"," 1227028"," 1326335"," 2704967"," 2115288","  104120",NA,"12412268","47309258","13546867","33762391","24615533"," 1847895"," 5534021"," 1194529","  570413"," 5679113","47309258","41303514","13546867","27756647","16094986","14507128","  325095","  515239"," 2789319","  486835","  635229","  682934","  291717"," 1141228","  570370"," 3263434","  471723",NA," 5534021","16363418","75597031"
"Mississippi*","20186590","18953932"," 8147073"," 7862299"," 3429670"," 1536973","  529709"," 1872055","  424673","   69219"," 1590327","  594503",NA,"  348110"," 1785669","22270614"," 5225210","17045404","12643419"," 1221672"," 1880311","  396601","  250091"," 2697441","22751540","17423996"," 5225210","14189768"," 6431695"," 6440718"," 1456620","  423381"," 1455496","  150445","  365388","  239900","   49899","  410454","  237943"," 1443966",NA,"  292430"," 1880311"," 7265891","30755023"
"Missouri","39873277","29530314","11322122","12495505"," 3604570"," 1799366","  590747"," 6149468","  307443","   43911"," 3116903"," 2595784",NA,NA,"10342963","33635650"," 6298000","27337650","19936731"," 1248841"," 4739931","  639495","  772652"," 4027051","33635650","28895719"," 6298000","22597719"," 9976109"," 8995674"," 2212142"," 1988453"," 1391549","  235665","  827462","  302370","   69035","  569498","  772652"," 1555110","       0",NA," 4739931","18419751","73595342"
"Montana"," 9068008"," 6618079"," 3054845"," 2654444","       0","  576214","  329874"," 1177958","  125003","  445395","  505976","  402814",NA,"   96514"," 2353415"," 7745680"," 1128565"," 6617115"," 4993091","  370538"," 1068360","   76301","  108825"," 1149813"," 7745680"," 6578680"," 1128565"," 5450115"," 1917463"," 2169871","   65323","  206589","  610663","   39216","  212280","  284861","   17013","  436856","  108825","  509720","   15492","   83148"," 1068360"," 2795614","19403925"
"Nebraska","12173777","10025526"," 3179745"," 5103105"," 1835037","  572477","  182791"," 2228486","  264440","   19874","  947882","  794794",NA,NA," 2148251","10618168"," 2457060"," 8161108"," 6315925","  816316","  761279","  209343","   58245"," 1579254","10618168"," 9849096"," 2457060"," 7392036"," 3825588"," 2771780","  189098","  306760","  824452","   90473","  349865","  224856","   53442","  295374","   58245","  859163","    7793",NA,"  761279"," 2014523","20996903"
"Nevada","22421180","15342157"," 5234577"," 8624618"," 4756243"," 2167041","  666527","       0","       0"," 1034807","  824663","  658299","   43332",NA," 7035691","16221269"," 4772756","11448513"," 7313033","  896872"," 2605908","  494244","  138456"," 1737065","16221269","13571159"," 4772756"," 8798403"," 5150123"," 3892730","  269434","  296213"," 1000032","   95406","  312785","  140690","   22795","  444316","  138456"," 1808179","   44202",NA," 2605908"," 3248814","42075637"
"New Hampshire"," 9328812"," 7012244"," 2720430"," 2496719","       0","  959384","  329719","   65467","  573653","  568496","  969753","  825342",NA,"  686141"," 1630427"," 7882386","  831584"," 7050802"," 5253784","  493748","  791338","  193058","  318874"," 1156326"," 7882386"," 6530108","  831584"," 5698524"," 1441350"," 2584284","   61520","   97799","  528633","   71944","  145827","   57885","   27953","  304005","  318874","  890034","   14669","  546271","  791338"," 7739447","15216579"
"New Jersey"," 78982653"," 62862114"," 18615719"," 32325850","  9591881","  3796733","  1550059"," 13958119","  2109930","  1319128","  6791421","  5129124","  1122928",NA," 14997611"," 72339494"," 11662914"," 60676580"," 38679253","  4618974"," 13517466","  1656438","  2204449"," 10181242"," 72339494"," 55739193"," 11662914"," 44076279"," 18497910"," 18558280","  2223073","  1454264","  3126092","   715359","  1380091","   474158","   194846","  1747069","  2202843","  5165208","  3082835",NA," 13517466"," 65874095","115574492"
"New Mexico","21469601","17160408"," 7226565"," 5776271"," 2258767","  810874","  307671"," 1338768","   91876","  968315"," 1692840"," 2464732","       0",NA," 4309193","20407058"," 4735545","15671513","11853575","  829836"," 2398282","  198854","  390966"," 2528205","20407058","18007605"," 4735545","13272060"," 5527172"," 5900385"," 1151673","  398368","  651714","  148580","  525324","  255992","   56924","  531362","  390966"," 2469145","    1171",NA," 2398282"," 7057656","56374732"
"New York","217166823","164596740"," 60371092"," 79678037"," 14132141"," 11230442","  1814065"," 44631769","  4026353","  3843267"," 10383880"," 14163731","  7716669",NA," 44853414","201170168"," 62034994","139135174"," 99157081","  9739136"," 22531599","  1976503","  5730855"," 18431443","201170168","165431107"," 62034994","103396113"," 45766742"," 67311394","  5325753","  8999160","  5870948","  1017705","  3403266","   543360","   713281","  5691307","  4084149"," 16704042"," 13207462",NA," 22531599","139234923","392826808"
"North Carolina"," 67493557"," 53199169"," 16412180"," 26855304","  7656898","  4042138","  2235904"," 12086332","   757041","    76991","  6137671","  3794014","        4",NA," 14294384"," 55570958"," 13438382"," 42132576"," 29945538","  4170790","  6164825","  1268690","   582733","  8181078"," 55570958"," 49253887"," 13438382"," 35815505"," 21223986"," 13031451","  2179337","  1265088","  4490147","   738513","  1343093","   529106","   213638","  1636775","   582733","  2020020","   152246",NA,"  6164825"," 16310177","122119403"
"North Dakota"," 7921242"," 6648047"," 1825980"," 3465326","  872176","  477252","  213985","  319507","   60871"," 1521535","  791199","  565542","       0",NA," 1273195"," 7532032"," 1978548"," 5553484"," 3824126","  805462","  660183","  183493","   80220"," 1097761"," 7532032"," 6791284"," 1978548"," 4812736"," 2356128"," 1287765","   27100","  375497","  970114","   31401","  105537","  142237","   40661","  204538","   80220"," 1170085","   80565",NA,"  660183"," 2885664","28614819"
"Ohio","100598743"," 69775759"," 24305702"," 30306468"," 13343149","  6230259","  2300778","  8377450","     8833","    45999","  9518654","  5644935",NA,"  1154329"," 29668655"," 88232183"," 18796046"," 69436137"," 44386728","  4605675"," 17323549","  1803259","  1316926","  8301530"," 88232183"," 70094702"," 18796046"," 51298656"," 23187805"," 25824087","  4351948","  2459852","  4044349","   390158","  1815411","   442609","   191652","  2149592","  1316926","  3920313",NA,"   813932"," 17323549"," 33493235","224628316"
"Oklahoma","27168522","21102389"," 7280359"," 8569402"," 2465383"," 1299512"," 1062358"," 3122602","  157894","  461653"," 2890003"," 2362625","  620922",NA," 5445211","25252040"," 4446655","20805385","14433262"," 2509741"," 2852310","  597283","  412789"," 3300913","25252040","21342494"," 4446655","16895839"," 8323116"," 6747383","  262911"," 1037585"," 2168570","  230799","  575015","  160437","   83468","  716346","  330852","  706012"," 1057236",NA," 2852310"," 8457322","45207967"
"Oregon","45407617","32725089","10327965","11914567","       0"," 1598677"," 1067836"," 8379225","  633046","  235783"," 7083134"," 3399423","     404","  595077","12087047","39668240"," 5764089","33904151","26061066"," 1248204"," 5580577","  661015","  353289"," 4882807","39668240","33664141"," 5764089","27900052","12291011","10481906"," 2332476"," 1011517"," 1195771","  201595","  897609","  535370","  101855"," 1753189","  353289"," 2508553","   33123","  390399"," 5580577","12656643","92476825"
"Pennsylvania","103959640"," 84656671"," 29475131"," 37853091"," 10509734","  9119703","  2240809"," 12063782","  2344344","  1574719"," 11498190","  5830259",NA,"  2012789"," 17290180","104023221"," 22256314"," 81766907"," 56147568","  8453927"," 12734112","  2929398","  1501902"," 10490084","104023221"," 89366614"," 22256314"," 67110300"," 28410894"," 31373090","  5132420","  3428716","  8159034","  1093448","  2183012","   733442","   339885","  2633479","  1501902","  4377292","     1760","  1920735"," 12734112"," 47519575","118258436"
"Rhode Island"," 9261634"," 7506147"," 2519225"," 3266663","  996390","  695392","  110461"," 1238928","  129732","   95760","  837638","  882621","   24931",NA," 1730556"," 8780280"," 1277277"," 7503003"," 5153303","  442114"," 1288574","  169679","  449333"," 1325482"," 8780280"," 7319018"," 1277277"," 6041741"," 2168254"," 2770134","   66227","  186540","  320743","   87077","  199314","   49743","   60176","  406932","  448794","  555084","  172688",NA," 1288574"," 8932377","15786466"
"South Carolina","34807666","26655917"," 9007621"," 9828825"," 3285007"," 1352342","  518886"," 4142276","  375655","  154659"," 5243200"," 2576271"," 1729338",NA," 6422411","33880302"," 6735297","27145005","19325690"," 2338303"," 3683587"," 1198414","  599011"," 4031756","33880302","28580071"," 6735297","21844774","10274900"," 7811767"," 1871970"," 1264559"," 2068516","  205857","  520001","  281506","  148364","  630300","  355443"," 3146888"," 1616644",NA," 3683587","15744638","44116844"
