"","Country","Broadband","Cells","Servers","Exports","mac.addresses","IXP"
"143","LVA",26.99031118,126.3866193,11948.0107586673,1339781881,"14",2
"144","MAC",29.87630247,328.7999525,1779.72812564752,NA,NA,NA
"145","MAF",NA,NA,280.155642023346,NA,NA,NA
"146","MAR",3.858095143,122.8779577,283.019554230912,651186168,"2",1
"147","MCO",49.76870397,85.22548133,9639.48830598269,NA,"1",NA
"148","MDA",14.42358484,90.41659632,2837.54405223042,28666567,"2",1
"149","MDG",0.098009866,34.14232861,4.92747711802813,4754271,NA,1
"150","MDV",8.37302042,206.2934018,478.995255884308,142,NA,NA
"151","MEA",8.09638716192819,106.808049315225,309.189632340779,NA,NA,NA
"152","MEX",13.27861954,88.51537104,179.184058478046,50434980272,"23",4
"153","MHL",1.882282079,30.11651326,112.93692472754,NA,NA,NA
"154","MIC",11.1047777807578,103.71048465841,679.187329131409,739179414452,NA,NA
"155","MKD",19.02374278,96.39240385,497.801417077901,159564433,NA,NA
"156","MLI",0.218509566,118.8336413,7.65829754966837,2164478,NA,NA
"157","MLT",42.08525306,140.3690508,14102.5942363125,NA,"3",1
"158","MMR",0.209042022,89.83720797,9.911822441449,285944561,"1",NA
"159","MNA",7.02882691081449,100.687755177673,126.614304746799,NA,NA,NA
"160","MNE",21.84972017,166.0954592,223.33873738096,3063251,NA,NA
"161","MNG",9.269366738,126.3528292,1546.01617155675,3491345,NA,1
"162","MNP",NA,NA,253.880748585522,NA,NA,NA
"163","MOZ",0.207763473,40.0268713,7.48259941728751,32059254,NA,1
"164","MRT",0.285893076,92.17166073,4.07222866740389,NA,NA,NA
"165","MUS",19.4445191,145.399158,379.562759516152,26573496,"1",1
"166","MWI",0.058081514,41.73804958,9.88073098507022,8133024,NA,1
"167","MYS",8.499170131,133.8797956,4836.98213498344,41172608986,"334",2
"168","NAC",34.275598227941,117.226594290646,150,134341551053,NA,NA
"169","NAM",2.596067399,105.7779756,113.268876633223,14734532,NA,1
"170","NCL",NA,NA,2856.02224916209,NA,NA,NA
"171","NER",0.040274991,40.87508383,0.465606833767372,NA,NA,NA
"172","NGA",0.058062833,75.91962422,222.797537325765,18192596,NA,1
"173","NIC",3.379513673,131.5604252,125.61155214544,11267652,NA,NA
"174","NLD",42.32699133,120.5216877,150,63617214213,"183",9
"175","NOR",40.64456798,107.9055178,14572.5727349493,3590613199,"82",2
"176","NPL",1.717133712,123.1748796,149.189568277739,5847553,NA,1
"177","NRU",NA,88.03591865,77.663870767319,NA,NA,NA
"178","NZL",33.63921002,136.0018598,14980.4960470598,530109422,"44",3
